Time [yyyy-MM-dd HH:mm:ss],883.00_IJ: Discharge at (IJssel02_B_A_ 865_75)_ Flow1D [m³/s],883.00_IJ: Discharge at (IJssel02_B_A_ 865_75)_ Flow1D [m³/s]
2000-01-14 11:00:00,3783_3,3783_3
2000-01-14 12:00:00,3811_8,3811_8
2000-01-14 13:00:00,3839_6,3839_6
2000-01-14 14:00:00,3866_8,3866_8
2000-01-14 15:00:00,3893_2,3893_2
2000-01-14 16:00:00,3918_9,3918_9
2000-01-14 17:00:00,3944_1,3944_1
2000-01-14 18:00:00,3968_9,3968_9
2000-01-14 19:00:00,3993_1,3993_1
2000-01-14 20:00:00,4016_4,4016_4
2000-01-14 21:00:00,4039,4039
2000-01-14 22:00:00,4060_8,4060_8
2000-01-14 23:00:00,4082,4082
2000-01-15 00:00:00,4102_9,4102_9
2000-01-15 01:00:00,4122_9,4122_9
2000-01-15 02:00:00,4139_2,4139_2
2000-01-15 03:00:00,4152_6,4152_6
2000-01-15 04:00:00,4164_3,4164_3
2000-01-15 05:00:00,4174_6,4174_6
2000-01-15 06:00:00,4184,4184
2000-01-15 07:00:00,4192_5,4192_5
2000-01-15 08:00:00,4200_5,4200_5
2000-01-15 09:00:00,4207_9,4207_9
2000-01-15 10:00:00,4214_8,4214_8
2000-01-15 11:00:00,4221_4,4221_4
2000-01-15 12:00:00,4227_7,4227_7
2000-01-15 13:00:00,4233_7,4233_7
2000-01-15 14:00:00,4239_4,4239_4
2000-01-15 15:00:00,4245,4245
2000-01-15 16:00:00,4250_4,4250_4
2000-01-15 17:00:00,4255_7,4255_7
2000-01-15 18:00:00,4260_8,4260_8
2000-01-15 19:00:00,4265_8,4265_8
2000-01-15 20:00:00,4270_7,4270_7
2000-01-15 21:00:00,4275_5,4275_5
2000-01-15 22:00:00,4280_3,4280_3
2000-01-15 23:00:00,4285,4285
2000-01-16 00:00:00,4289_6,4289_6
2000-01-16 01:00:00,4293_6,4293_6
2000-01-16 02:00:00,4295_4,4295_4
2000-01-16 03:00:00,4295_6,4295_6
2000-01-16 04:00:00,4294_7,4294_7
2000-01-16 05:00:00,4293_1,4293_1
2000-01-16 06:00:00,4290_9,4290_9
2000-01-16 07:00:00,4288_2,4288_2
2000-01-16 08:00:00,4285_2,4285_2
2000-01-16 09:00:00,4281_8,4281_8
2000-01-16 10:00:00,4278_3,4278_3
2000-01-16 11:00:00,4274_5,4274_5
2000-01-16 12:00:00,4270_5,4270_5
2000-01-16 13:00:00,4266_4,4266_4
2000-01-16 14:00:00,4262_2,4262_2
2000-01-16 15:00:00,4257_8,4257_8
2000-01-16 16:00:00,4253_4,4253_4
2000-01-16 17:00:00,4248_9,4248_9
2000-01-16 18:00:00,4244_4,4244_4
2000-01-16 19:00:00,4239_8,4239_8
2000-01-16 20:00:00,4235_2,4235_2
2000-01-16 21:00:00,4230_5,4230_5
2000-01-16 22:00:00,4225_8,4225_8
2000-01-16 23:00:00,4221_1,4221_1
2000-01-17 00:00:00,4216_4,4216_4
2000-01-17 01:00:00,4211_3,4211_3
2000-01-17 02:00:00,4204_5,4204_5
2000-01-17 03:00:00,4196_5,4196_5
2000-01-17 04:00:00,4187_7,4187_7
2000-01-17 05:00:00,4178_4,4178_4
2000-01-17 06:00:00,4168_7,4168_7
2000-01-17 07:00:00,4158_6,4158_6
2000-01-17 08:00:00,4148_3,4148_3
2000-01-17 09:00:00,4137_8,4137_8
2000-01-17 10:00:00,4127_1,4127_1
2000-01-17 11:00:00,4116_3,4116_3
2000-01-17 12:00:00,4105_4,4105_4
2000-01-17 13:00:00,4094_4,4094_4
2000-01-17 14:00:00,4083_3,4083_3
2000-01-17 15:00:00,4072_1,4072_1
2000-01-17 16:00:00,4060_9,4060_9
2000-01-17 17:00:00,4049_7,4049_7
2000-01-17 18:00:00,4038_4,4038_4
2000-01-17 19:00:00,4027_1,4027_1
2000-01-17 20:00:00,4015_7,4015_7
2000-01-17 21:00:00,4004_4,4004_4
2000-01-17 22:00:00,3993,3993
2000-01-17 23:00:00,3981_7,3981_7
2000-01-18 00:00:00,3970_3,3970_3
2000-01-18 01:00:00,3958_4,3958_4
2000-01-18 02:00:00,3944_1,3944_1
2000-01-18 03:00:00,3928_1,3928_1
2000-01-18 04:00:00,3910_9,3910_9
2000-01-18 05:00:00,3893,3893
2000-01-18 06:00:00,3874_5,3874_5
2000-01-18 07:00:00,3855_5,3855_5
2000-01-18 08:00:00,3836_1,3836_1
2000-01-18 09:00:00,3816_4,3816_4
2000-01-18 10:00:00,3796_5,3796_5
2000-01-18 11:00:00,3776_3,3776_3
2000-01-18 12:00:00,3755_6,3755_6
2000-01-18 13:00:00,3734_7,3734_7
2000-01-18 14:00:00,3713_7,3713_7
