Time [yyyy-MM-dd HH:mm:ss],50848ObsUS: Discharge at (IJssel04_A_ 109_4015)_ Flow1D [m³/s]
2000-01-13 03:00:00,1879_9
2000-01-13 04:00:00,1904_2
2000-01-13 05:00:00,1930_6
2000-01-13 06:00:00,1958_2
2000-01-13 07:00:00,1987
2000-01-13 08:00:00,2016_4
2000-01-13 09:00:00,2046_2
2000-01-13 10:00:00,2077_2
2000-01-13 11:00:00,2110_4
2000-01-13 12:00:00,2145
2000-01-13 13:00:00,2182_4
2000-01-13 14:00:00,2225_6
2000-01-13 15:00:00,2266_4
2000-01-13 16:00:00,2307_4
2000-01-13 17:00:00,2351_2
2000-01-13 18:00:00,2401_7
2000-01-13 19:00:00,2456_9
2000-01-13 20:00:00,2512_6
2000-01-13 21:00:00,2593_6
2000-01-13 22:00:00,2661_3
2000-01-13 23:00:00,2724_5
2000-01-14 00:00:00,2772_9
2000-01-14 01:00:00,2816_2
2000-01-14 02:00:00,2864_1
2000-01-14 03:00:00,2914_1
2000-01-14 04:00:00,2965_4
2000-01-14 05:00:00,3016_8
2000-01-14 06:00:00,3067
2000-01-14 07:00:00,3116_1
2000-01-14 08:00:00,3165_5
2000-01-14 09:00:00,3217
2000-01-14 10:00:00,3232_8
2000-01-14 11:00:00,3254_8
2000-01-14 12:00:00,3292_6
2000-01-14 13:00:00,3333_8
2000-01-14 14:00:00,3374_1
2000-01-14 15:00:00,3412_2
2000-01-14 16:00:00,3447_1
2000-01-14 17:00:00,3479
2000-01-14 18:00:00,3509_3
2000-01-14 19:00:00,3537_8
2000-01-14 20:00:00,3564
2000-01-14 21:00:00,3587_8
2000-01-14 22:00:00,3609_8
2000-01-14 23:00:00,3630_5
2000-01-15 00:00:00,3650_4
2000-01-15 01:00:00,3669_7
2000-01-15 02:00:00,3688_6
2000-01-15 03:00:00,3707_9
2000-01-15 04:00:00,3729_3
2000-01-15 05:00:00,3751
2000-01-15 06:00:00,3772_7
2000-01-15 07:00:00,3794
2000-01-15 08:00:00,3814_9
2000-01-15 09:00:00,3835_2
2000-01-15 10:00:00,3854_7
2000-01-15 11:00:00,3873_5
2000-01-15 12:00:00,3891_4
2000-01-15 13:00:00,3908_5
2000-01-15 14:00:00,3924_8
2000-01-15 15:00:00,3940_3
2000-01-15 16:00:00,3954_9
2000-01-15 17:00:00,3968_9
2000-01-15 18:00:00,3982_4
2000-01-15 19:00:00,3995_4
2000-01-15 20:00:00,4008
2000-01-15 21:00:00,4020_3
2000-01-15 22:00:00,4032_3
2000-01-15 23:00:00,4044
2000-01-16 00:00:00,4055_4
2000-01-16 01:00:00,4066_5
2000-01-16 02:00:00,4077_4
2000-01-16 03:00:00,4088_1
2000-01-16 04:00:00,4098_4
2000-01-16 05:00:00,4108_5
2000-01-16 06:00:00,4118_2
2000-01-16 07:00:00,4127_5
2000-01-16 08:00:00,4136_2
2000-01-16 09:00:00,4144_5
2000-01-16 10:00:00,4152_2
2000-01-16 11:00:00,4159_5
2000-01-16 12:00:00,4166_3
2000-01-16 13:00:00,4172_6
2000-01-16 14:00:00,4178_4
2000-01-16 15:00:00,4183_8
2000-01-16 16:00:00,4188_8
2000-01-16 17:00:00,4193_4
2000-01-16 18:00:00,4197_5
2000-01-16 19:00:00,4201_3
2000-01-16 20:00:00,4204_8
2000-01-16 21:00:00,4207_9
