Time [yyyy-MM-dd HH:mm:ss],50878ObsUS: Discharge at (IJssel02_A_ 960_331)_ Flow1D [m³/s]
2000-01-15 20:00:00,4274_4
2000-01-15 21:00:00,4279_1
2000-01-15 22:00:00,4283_8
2000-01-15 23:00:00,4288_4
2000-01-16 00:00:00,4292_9
2000-01-16 01:00:00,4296_7
2000-01-16 02:00:00,4298_1
2000-01-16 03:00:00,4297_9
2000-01-16 04:00:00,4296_7
2000-01-16 05:00:00,4294_8
2000-01-16 06:00:00,4292_4
2000-01-16 07:00:00,4289_5
2000-01-16 08:00:00,4286_3
2000-01-16 09:00:00,4282_8
2000-01-16 10:00:00,4279
2000-01-16 11:00:00,4275_1
2000-01-16 12:00:00,4271
2000-01-16 13:00:00,4266_8
2000-01-16 14:00:00,4262_4
2000-01-16 15:00:00,4258
2000-01-16 16:00:00,4253_5
2000-01-16 17:00:00,4248_9
2000-01-16 18:00:00,4244_3
2000-01-16 19:00:00,4239_6
2000-01-16 20:00:00,4234_9
2000-01-16 21:00:00,4230_2
2000-01-16 22:00:00,4225_4
2000-01-16 23:00:00,4220_7
2000-01-17 00:00:00,4215_9
2000-01-17 01:00:00,4210_6
2000-01-17 02:00:00,4203_4
2000-01-17 03:00:00,4195_1
2000-01-17 04:00:00,4186_1
2000-01-17 05:00:00,4176_6
2000-01-17 06:00:00,4166_7
2000-01-17 07:00:00,4156_5
2000-01-17 08:00:00,4146_1
2000-01-17 09:00:00,4135_4
2000-01-17 10:00:00,4124_6
2000-01-17 11:00:00,4113_7
2000-01-17 12:00:00,4102_6
2000-01-17 13:00:00,4091_5
2000-01-17 14:00:00,4080_3
2000-01-17 15:00:00,4069_1
2000-01-17 16:00:00,4057_8
2000-01-17 17:00:00,4046_5
2000-01-17 18:00:00,4035_1
2000-01-17 19:00:00,4023_7
2000-01-17 20:00:00,4012_3
2000-01-17 21:00:00,4000_9
2000-01-17 22:00:00,3989_5
2000-01-17 23:00:00,3978_1
2000-01-18 00:00:00,3966_7
2000-01-18 01:00:00,3954_6
2000-01-18 02:00:00,3939_8
2000-01-18 03:00:00,3923_3
2000-01-18 04:00:00,3905_9
2000-01-18 05:00:00,3887_7
2000-01-18 06:00:00,3868_9
2000-01-18 07:00:00,3849_7
2000-01-18 08:00:00,3830_1
2000-01-18 09:00:00,3810_2
2000-01-18 10:00:00,3790_1
2000-01-18 11:00:00,3769_7
2000-01-18 12:00:00,3748_9
2000-01-18 13:00:00,3727_8
2000-01-18 14:00:00,3706_6
2000-01-18 15:00:00,3685_3
2000-01-18 16:00:00,3663_8
2000-01-18 17:00:00,3642_3
2000-01-18 18:00:00,3620_8
2000-01-18 19:00:00,3599_1
2000-01-18 20:00:00,3577_5
2000-01-18 21:00:00,3555_8
2000-01-18 22:00:00,3534_1
2000-01-18 23:00:00,3512_4
2000-01-19 00:00:00,3490_4
2000-01-19 01:00:00,3468_3
2000-01-19 02:00:00,3446_3
2000-01-19 03:00:00,3424_5
2000-01-19 04:00:00,3402_6
2000-01-19 05:00:00,3380_7
2000-01-19 06:00:00,3358_6
2000-01-19 07:00:00,3336_3
2000-01-19 08:00:00,3313_5
2000-01-19 09:00:00,3290_3
2000-01-19 10:00:00,3267
2000-01-19 11:00:00,3243_4
2000-01-19 12:00:00,3219_4
2000-01-19 13:00:00,3195_2
2000-01-19 14:00:00,3170_8
2000-01-19 15:00:00,3135_9
2000-01-19 16:00:00,3094_8
2000-01-19 17:00:00,3057_4
2000-01-19 18:00:00,3020_3
2000-01-19 19:00:00,2983_2
2000-01-19 20:00:00,2945_9
2000-01-19 21:00:00,2908_7
2000-01-19 22:00:00,2871_6
2000-01-19 23:00:00,2834_4
2000-01-20 00:00:00,2797_2
2000-01-20 01:00:00,2760_3
2000-01-20 02:00:00,2724_2
2000-01-20 03:00:00,2688_5
2000-01-20 04:00:00,2652_6
2000-01-20 05:00:00,2623
2000-01-20 06:00:00,2596_5
2000-01-20 07:00:00,2568_3
2000-01-20 08:00:00,2540
2000-01-20 09:00:00,2511_7
2000-01-20 10:00:00,2483_7
2000-01-20 11:00:00,2465_4
2000-01-20 12:00:00,2454_1
2000-01-20 13:00:00,2441_5
2000-01-20 14:00:00,2426_7
2000-01-20 15:00:00,2409_2
2000-01-20 16:00:00,2390_5
2000-01-20 17:00:00,2371_4
2000-01-20 18:00:00,2352_4
2000-01-20 19:00:00,2333_6
2000-01-20 20:00:00,2314_8
2000-01-20 21:00:00,2295_8
2000-01-20 22:00:00,2280_1
2000-01-20 23:00:00,2265_4
2000-01-21 00:00:00,2251
2000-01-21 01:00:00,2233_6
2000-01-21 02:00:00,2219_3
2000-01-21 03:00:00,2202_6
2000-01-21 04:00:00,2187_3
2000-01-21 05:00:00,2171_7
2000-01-21 06:00:00,2150_3
2000-01-21 07:00:00,2124
2000-01-21 08:00:00,2099_3
2000-01-21 09:00:00,2075_7
2000-01-21 10:00:00,2052_7
2000-01-21 11:00:00,2030_1
2000-01-21 12:00:00,2009
2000-01-21 13:00:00,1989_3
2000-01-21 14:00:00,1970
2000-01-21 15:00:00,1950_9
2000-01-21 16:00:00,1931_1
2000-01-21 17:00:00,1911_4
2000-01-21 18:00:00,1891_8
2000-01-21 19:00:00,1872_6
2000-01-21 20:00:00,1853_7
2000-01-21 21:00:00,1835_3
2000-01-21 22:00:00,1817_5
2000-01-21 23:00:00,1800_2
2000-01-22 00:00:00,1783_3
2000-01-22 01:00:00,1766_8
2000-01-22 02:00:00,1750_2
2000-01-22 03:00:00,1731_9
2000-01-22 04:00:00,1712_9
2000-01-22 05:00:00,1694_1
2000-01-22 06:00:00,1675_6
2000-01-22 07:00:00,1657_5
2000-01-22 08:00:00,1639_6
2000-01-22 09:00:00,1622_1
2000-01-22 10:00:00,1604_7
2000-01-22 11:00:00,1587_2
2000-01-22 12:00:00,1570_3
2000-01-22 13:00:00,1553_8
2000-01-22 14:00:00,1537_8
2000-01-22 15:00:00,1522_7
2000-01-22 16:00:00,1508_1
2000-01-22 17:00:00,1492_3
2000-01-22 18:00:00,1476_3
2000-01-22 19:00:00,1460_7
2000-01-22 20:00:00,1445_7
2000-01-22 21:00:00,1431_3
2000-01-22 22:00:00,1417_9
2000-01-22 23:00:00,1405_5
2000-01-23 00:00:00,1393_8
2000-01-23 01:00:00,1382_9
2000-01-23 02:00:00,1373_2
2000-01-23 03:00:00,1364_7
2000-01-23 04:00:00,1357
2000-01-23 05:00:00,1350_1
2000-01-23 06:00:00,1343_9
2000-01-23 07:00:00,1338_2
2000-01-23 08:00:00,1332_9
2000-01-23 09:00:00,1327_8
2000-01-23 10:00:00,1323_1
2000-01-23 11:00:00,1318_8
2000-01-23 12:00:00,1315
2000-01-23 13:00:00,1311_4
2000-01-23 14:00:00,1307_9
2000-01-23 15:00:00,1304_4
2000-01-23 16:00:00,1300_7
2000-01-23 17:00:00,1296_9
2000-01-23 18:00:00,1292_9
2000-01-23 19:00:00,1288_8
2000-01-23 20:00:00,1284_6
2000-01-23 21:00:00,1280_2
2000-01-23 22:00:00,1275_7
2000-01-23 23:00:00,1270_9
2000-01-24 00:00:00,1265_8
2000-01-24 01:00:00,1260_3
2000-01-24 02:00:00,1254_4
2000-01-24 03:00:00,1248_3
2000-01-24 04:00:00,1242_1
2000-01-24 05:00:00,1235_9
2000-01-24 06:00:00,1229_6
2000-01-24 07:00:00,1223_1
2000-01-24 08:00:00,1216_5
2000-01-24 09:00:00,1209_9
2000-01-24 10:00:00,1203_2
2000-01-24 11:00:00,1196_3
2000-01-24 12:00:00,1189
2000-01-24 13:00:00,1181_5
2000-01-24 14:00:00,1173_7
2000-01-24 15:00:00,1165_8
2000-01-24 16:00:00,1157_7
2000-01-24 17:00:00,1149_5
2000-01-24 18:00:00,1141_1
2000-01-24 19:00:00,1132_7
2000-01-24 20:00:00,1124_3
2000-01-24 21:00:00,1115_7
2000-01-24 22:00:00,1107_1
2000-01-24 23:00:00,1098_4
2000-01-25 00:00:00,1089_8
2000-01-25 01:00:00,1081_3
2000-01-25 02:00:00,1073
2000-01-25 03:00:00,1064_9
2000-01-25 04:00:00,1057_1
2000-01-25 05:00:00,1049_5
2000-01-25 06:00:00,1042_1
2000-01-25 07:00:00,1035
2000-01-25 08:00:00,1028
2000-01-25 09:00:00,1021_2
2000-01-25 10:00:00,1014_6
2000-01-25 11:00:00,1008_3
2000-01-25 12:00:00,1002_2
2000-01-25 13:00:00,996_4
2000-01-25 14:00:00,990_82
2000-01-25 15:00:00,985_55
2000-01-25 16:00:00,980_88
2000-01-25 17:00:00,976_37
2000-01-25 18:00:00,971_87
2000-01-25 19:00:00,967_39
2000-01-25 20:00:00,962_95
2000-01-25 21:00:00,958_27
2000-01-25 22:00:00,953_46
2000-01-25 23:00:00,948_77
2000-01-26 00:00:00,944_18
2000-01-26 01:00:00,939_66
2000-01-26 02:00:00,935_25
2000-01-26 03:00:00,930_92
2000-01-26 04:00:00,926_61
2000-01-26 05:00:00,922_35
2000-01-26 06:00:00,918_17
2000-01-26 07:00:00,914_08
2000-01-26 08:00:00,910_07
2000-01-26 09:00:00,906_15
2000-01-26 10:00:00,902_29
2000-01-26 11:00:00,898_49
2000-01-26 12:00:00,894_75
2000-01-26 13:00:00,891_06
2000-01-26 14:00:00,887_42
2000-01-26 15:00:00,883_82
2000-01-26 16:00:00,880_25
2000-01-26 17:00:00,876_72
2000-01-26 18:00:00,873_21
2000-01-26 19:00:00,869_71
2000-01-26 20:00:00,866_1
2000-01-26 21:00:00,862_31
2000-01-26 22:00:00,858_54
2000-01-26 23:00:00,854_81
2000-01-27 00:00:00,851_13
2000-01-27 01:00:00,847_5
2000-01-27 02:00:00,844_03
2000-01-27 03:00:00,840_79
2000-01-27 04:00:00,837_78
2000-01-27 05:00:00,834_9
2000-01-27 06:00:00,831_97
2000-01-27 07:00:00,829_17
2000-01-27 08:00:00,826_54
2000-01-27 09:00:00,824_02
2000-01-27 10:00:00,821_61
2000-01-27 11:00:00,819_29
2000-01-27 12:00:00,817_05
2000-01-27 13:00:00,814_9
2000-01-27 14:00:00,812_66
2000-01-27 15:00:00,810_2
2000-01-27 16:00:00,807_74
2000-01-27 17:00:00,805_31
2000-01-27 18:00:00,802_88
2000-01-27 19:00:00,800_45
2000-01-27 20:00:00,798_02
2000-01-27 21:00:00,795_6
2000-01-27 22:00:00,793_19
2000-01-27 23:00:00,790_79
2000-01-28 00:00:00,788_4
2000-01-28 01:00:00,786_02
2000-01-28 02:00:00,783_67
2000-01-28 03:00:00,781_36
2000-01-28 04:00:00,779_09
2000-01-28 05:00:00,776_86
2000-01-28 06:00:00,774_66
2000-01-28 07:00:00,772_49
2000-01-28 08:00:00,770_36
2000-01-28 09:00:00,768_24
2000-01-28 10:00:00,766_14
2000-01-28 11:00:00,764_05
2000-01-28 12:00:00,761_97
2000-01-28 13:00:00,759_91
2000-01-28 14:00:00,757_87
2000-01-28 15:00:00,755_84
2000-01-28 16:00:00,753_83
2000-01-28 17:00:00,751_84
2000-01-28 18:00:00,749_87
2000-01-28 19:00:00,747_91
2000-01-28 20:00:00,745_98
2000-01-28 21:00:00,744_06
2000-01-28 22:00:00,742_16
2000-01-28 23:00:00,740_26
2000-01-29 00:00:00,738_31
2000-01-29 01:00:00,736_33
2000-01-29 02:00:00,734_42
2000-01-29 03:00:00,732_62
2000-01-29 04:00:00,730_9
2000-01-29 05:00:00,729_24
2000-01-29 06:00:00,727_63
2000-01-29 07:00:00,726_05
2000-01-29 08:00:00,724_51
2000-01-29 09:00:00,723
2000-01-29 10:00:00,721_5
2000-01-29 11:00:00,720_02
2000-01-29 12:00:00,718_55
2000-01-29 13:00:00,717_1
2000-01-29 14:00:00,715_67
2000-01-29 15:00:00,714_25
2000-01-29 16:00:00,712_84
2000-01-29 17:00:00,711_44
2000-01-29 18:00:00,710_05
2000-01-29 19:00:00,708_66
2000-01-29 20:00:00,707_28
2000-01-29 21:00:00,705_9
2000-01-29 22:00:00,704_53
2000-01-29 23:00:00,703_16
2000-01-30 00:00:00,701_8
2000-01-30 01:00:00,700_45
2000-01-30 02:00:00,699_22
2000-01-30 03:00:00,698_1
2000-01-30 04:00:00,697_08
2000-01-30 05:00:00,696_11
2000-01-30 06:00:00,695_18
2000-01-30 07:00:00,694_28
2000-01-30 08:00:00,693_4
2000-01-30 09:00:00,692_54
2000-01-30 10:00:00,691_69
2000-01-30 11:00:00,690_85
2000-01-30 12:00:00,690_03
2000-01-30 13:00:00,689_25
2000-01-30 14:00:00,688_5
2000-01-30 15:00:00,687_76
2000-01-30 16:00:00,687_02
2000-01-30 17:00:00,686_28
2000-01-30 18:00:00,685_54
2000-01-30 19:00:00,684_8
2000-01-30 20:00:00,684_07
