Time [yyyy-MM-dd HH:mm:ss],50872ObsUS: Discharge at (Bovenrijn_A_ 1071_391)_ Flow1D [m³/s]
2000-01-23 20:00:00,10157
2000-01-23 21:00:00,10097
2000-01-23 22:00:00,10037
2000-01-23 23:00:00,9977_7
2000-01-24 00:00:00,9918
2000-01-24 01:00:00,9863_6
2000-01-24 02:00:00,9809_2
2000-01-24 03:00:00,9754_8
2000-01-24 04:00:00,9700_4
2000-01-24 05:00:00,9646
2000-01-24 06:00:00,9591_6
2000-01-24 07:00:00,9537_2
2000-01-24 08:00:00,9482_8
2000-01-24 09:00:00,9428_4
2000-01-24 10:00:00,9374
2000-01-24 11:00:00,9319_6
2000-01-24 12:00:00,9265_2
2000-01-24 13:00:00,9210_8
2000-01-24 14:00:00,9156_4
2000-01-24 15:00:00,9102
2000-01-24 16:00:00,9047_6
2000-01-24 17:00:00,8993_2
2000-01-24 18:00:00,8938_8
2000-01-24 19:00:00,8884_4
2000-01-24 20:00:00,8830
2000-01-24 21:00:00,8775_6
2000-01-24 22:00:00,8721_2
2000-01-24 23:00:00,8666_9
2000-01-25 00:00:00,8612_5
2000-01-25 01:00:00,8567
2000-01-25 02:00:00,8521_6
2000-01-25 03:00:00,8476_2
2000-01-25 04:00:00,8430_8
2000-01-25 05:00:00,8385_3
2000-01-25 06:00:00,8339_9
2000-01-25 07:00:00,8294_5
2000-01-25 08:00:00,8249_1
2000-01-25 09:00:00,8203_6
2000-01-25 10:00:00,8158_2
2000-01-25 11:00:00,8112_8
2000-01-25 12:00:00,8067_4
2000-01-25 13:00:00,8021_9
2000-01-25 14:00:00,7976_5
2000-01-25 15:00:00,7931_1
2000-01-25 16:00:00,7885_7
2000-01-25 17:00:00,7840_2
2000-01-25 18:00:00,7794_8
2000-01-25 19:00:00,7749_4
2000-01-25 20:00:00,7704
2000-01-25 21:00:00,7658_5
2000-01-25 22:00:00,7613_1
2000-01-25 23:00:00,7567_7
2000-01-26 00:00:00,7522_3
2000-01-26 01:00:00,7489_9
2000-01-26 02:00:00,7457_5
2000-01-26 03:00:00,7425_2
2000-01-26 04:00:00,7392_8
2000-01-26 05:00:00,7360_5
2000-01-26 06:00:00,7328_1
2000-01-26 07:00:00,7295_8
2000-01-26 08:00:00,7263_4
2000-01-26 09:00:00,7231
2000-01-26 10:00:00,7198_7
2000-01-26 11:00:00,7166_3
2000-01-26 12:00:00,7134
2000-01-26 13:00:00,7101_6
2000-01-26 14:00:00,7069_3
2000-01-26 15:00:00,7036_9
2000-01-26 16:00:00,7004_5
2000-01-26 17:00:00,6972_2
